,date,state,cases_dif,deaths_dif
0,2020-01-21,Washington,,
1,2020-01-22,Washington,0.0,0.0
2,2020-01-23,Washington,0.0,0.0
4,2020-01-24,Washington,0.0,0.0
7,2020-01-25,Washington,0.0,0.0
11,2020-01-26,Washington,0.0,0.0
15,2020-01-27,Washington,0.0,0.0
19,2020-01-28,Washington,0.0,0.0
23,2020-01-29,Washington,0.0,0.0
27,2020-01-30,Washington,0.0,0.0
31,2020-01-31,Washington,0.0,0.0
36,2020-02-01,Washington,0.0,0.0
41,2020-02-02,Washington,0.0,0.0
46,2020-02-03,Washington,0.0,0.0
51,2020-02-04,Washington,0.0,0.0
56,2020-02-05,Washington,0.0,0.0
62,2020-02-06,Washington,0.0,0.0
68,2020-02-07,Washington,0.0,0.0
74,2020-02-08,Washington,0.0,0.0
80,2020-02-09,Washington,0.0,0.0
86,2020-02-10,Washington,0.0,0.0
92,2020-02-11,Washington,0.0,0.0
99,2020-02-12,Washington,0.0,0.0
106,2020-02-13,Washington,0.0,0.0
113,2020-02-14,Washington,0.0,0.0
120,2020-02-15,Washington,0.0,0.0
127,2020-02-16,Washington,0.0,0.0
135,2020-02-17,Washington,0.0,0.0
143,2020-02-18,Washington,0.0,0.0
151,2020-02-19,Washington,0.0,0.0
159,2020-02-20,Washington,0.0,0.0
167,2020-02-21,Washington,0.0,0.0
175,2020-02-22,Washington,0.0,0.0
183,2020-02-23,Washington,0.0,0.0
191,2020-02-24,Washington,4.0,0.0
200,2020-02-25,Washington,0.0,0.0
209,2020-02-26,Washington,0.0,0.0
218,2020-02-27,Washington,0.0,0.0
228,2020-02-28,Washington,2.0,0.0
238,2020-02-29,Washington,3.0,1.0
251,2020-03-01,Washington,7.0,2.0
266,2020-03-02,Washington,6.0,3.0
282,2020-03-03,Washington,9.0,4.0
299,2020-03-04,Washington,15.0,1.0
320,2020-03-05,Washington,28.0,0.0
348,2020-03-06,Washington,11.0,1.0
381,2020-03-07,Washington,24.0,4.0
416,2020-03-08,Washington,31.0,3.0
453,2020-03-09,Washington,38.0,3.0
492,2020-03-10,Washington,100.0,2.0
536,2020-03-11,Washington,59.0,5.0
583,2020-03-12,Washington,81.0,3.0
634,2020-03-13,Washington,92.0,5.0
686,2020-03-14,Washington,98.0,3.0
739,2020-03-15,Washington,66.0,2.0
792,2020-03-16,Washington,119.0,6.0
845,2020-03-17,Washington,114.0,6.0
899,2020-03-18,Washington,118.0,14.0
